385386000,105486141,523140869
385387000,105486208,523140886
385388000,105486253,523140900
385389000,105486282,523140920
385390000,105486269,523140911
385391000,105486273,523140940
385392000,105486247,523140981
385393000,105486247,523140981
385394000,105486239,523140983
385395000,105486232,523141007
385396000,105486215,523141012
385397000,105486160,523141018
385398000,105486113,523141024
385399000,105486059,523141042
385400000,105485990,523141027
385401000,105485960,523141040
385402000,105485951,523141062
385403000,105485928,523141086
385404000,105485951,523141100
385405000,105485967,523141096
385406000,105485980,523141048
385407000,105485997,523141009
385408000,105485976,523140981
385409000,105485976,523140930
385410000,105485942,523140919
385411000,105485932,523140899
385412000,105485918,523140914
385413000,105485949,523140913
385414000,105485907,523140930
385415000,105485887,523140948
385416000,105485823,523140943
385417000,105485766,523140923
385418000,105485735,523140928
385419000,105485750,523140927
385420000,105485774,523140927
385421000,105485832,523140926
385422000,105485828,523140917
385423000,105485839,523140922
385424000,105485837,523140930
385425000,105485845,523140949
385426000,105485828,523140956
385427000,105485788,523140940
385428000,105485766,523140924
385429000,105485759,523140893
385430000,105485741,523140884
385431000,105485711,523140833
385432000,105485692,523140776
385433000,105485686,523140756
385434000,105485734,523140729
385435000,105485714,523140716
385436000,105485632,523140773
385437000,105485594,523140812
385438000,105485520,523140803
385439000,105485494,523140789
385440000,105485473,523140842
385441000,105485379,523140826
385442000,105485420,523140819
385443000,105485406,523140829
385444000,105485444,523140803
385445000,105485446,523140816
385446000,105485538,523140801
385447000,105485562,523140789
385448000,105485644,523140783
385449000,105485718,523140765
385450000,105485703,523140753
385451000,105485731,523140757
385452000,105485747,523140751
385453000,105485795,523140758
385454000,105485849,523140753
385455000,105485867,523140722
385456000,105485919,523140686
385457000,105485968,523140700
385458000,105486017,523140689
385459000,105486034,523140714
385460000,105485981,523140736
385461000,105485953,523140760
385462000,105485909,523140807
385463000,105485832,523140835
385464000,105485835,523140844
385465000,105485825,523140850
385466000,105485843,523140850
385467000,105485811,523140853
385468000,105485819,523140870
385469000,105485806,523140866
385470000,105485857,523140844
385471000,105485912,523140850
385472000,105486006,523140835
385473000,105486109,523140773
385474000,105486135,523140735
385475000,105486101,523140726
385476000,105486113,523140733
385477000,105486097,523140725
385478000,105486088,523140705
385479000,105486050,523140735
385480000,105486057,523140761
385481000,105486024,523140796
385482000,105486001,523140809
385483000,105485902,523140838
385484000,105485882,523140838
385485000,105485917,523140836
385486000,105485903,523140847
385487000,105485889,523140851
385488000,105485865,523140825
385489000,105486000,523140752
385490000,105486049,523140723
385491000,105486132,523140711
385492000,105486145,523140728
385493000,105486174,523140698
385494000,105486155,523140703
385495000,105486056,523140680
385496000,105486036,523140667
385497000,105486147,523140627
385498000,105485886,523140711
385499000,105485959,523140678
385500000,105485691,523140697
385501000,105485537,523140734
385502000,105485565,523140765
385503000,105485622,523140748
385504000,105485605,523140771
385505000,105485638,523140797
385506000,105485614,523140787
385507000,105485513,523140805
385508000,105485618,523140830
385509000,105485604,523140820
385510000,105485592,523140853
385511000,105485673,523140906
385512000,105485721,523140887
385513000,105485745,523140887
385514000,105485747,523140916
385515000,105485737,523140902
385516000,105485725,523140890
385517000,105485686,523140914
385518000,105485753,523140898
385519000,105485725,523140904
385520000,105485858,523140912
385521000,105485905,523140932
385522000,105485971,523140952
385523000,105486014,523140939
385524000,105486051,523140941
385525000,105486078,523140945
385526000,105486161,523140925
385527000,105486131,523140958
385528000,105486041,523140957
385529000,105485990,523140932
385530000,105486032,523140902
385531000,105486075,523140882
385532000,105486031,523140872
385533000,105485996,523140873
385534000,105485971,523140853
385535000,105485989,523140853
385536000,105485933,523140848
385537000,105485852,523140836
385538000,105485854,523140831
385539000,105485849,523140821
385540000,105485823,523140823
385541000,105485893,523140828
385542000,105485906,523140840
385543000,105485962,523140849
385544000,105486068,523140863
385545000,105486139,523140884
385546000,105486120,523140859
385547000,105486035,523140828
385548000,105486047,523140801
385549000,105486091,523140764
385550000,105486022,523140779
385551000,105485982,523140766
385552000,105486005,523140759
385553000,105486052,523140721
385554000,105486004,523140710
385555000,105485997,523140731
385556000,105485981,523140754
385557000,105485933,523140765
385558000,105485891,523140772
385559000,105485894,523140773
385560000,105485860,523140769
385561000,105485855,523140784
385562000,105485788,523140795
385563000,105485827,523140847
385564000,105485883,523140873
385565000,105485805,523140876
385566000,105485781,523140892
385567000,105485746,523140908
385568000,105485791,523140868
385569000,105485796,523140818
385570000,105485794,523140785
385571000,105485755,523140762
385572000,105485728,523140748
385573000,105485763,523140727
385574000,105485704,523140726
385575000,105485662,523140736
385576000,105485606,523140746
385577000,105485587,523140753
385578000,105485596,523140730
385579000,105485617,523140725
385580000,105485680,523140699
385581000,105485710,523140703
385582000,105485715,523140676
385583000,105485732,523140647
385584000,105485790,523140643
385585000,105485746,523140582
385586000,105485717,523140524
385587000,105485698,523140516
385588000,105485712,523140509
385589000,105485660,523140472
385590000,105485662,523140500
385591000,105485622,523140533
385592000,105485637,523140536
385593000,105485678,523140567
385594000,105485673,523140575
385595000,105485669,523140591
385596000,105485700,523140622
385597000,105485726,523140646
385598000,105485743,523140685
385599000,105485735,523140717
385600000,105485741,523140753
385601000,105485730,523140794
385602000,105485718,523140801
385603000,105485767,523140796
385604000,105485806,523140810
385605000,105485845,523140816
385606000,105485861,523140826
385607000,105485797,523140833
385608000,105485828,523140811
385609000,105485842,523140808
385610000,105485847,523140811
385611000,105485873,523140801
385612000,105485841,523140786
385613000,105485830,523140780
385614000,105485835,523140784
385615000,105485805,523140798
385616000,105485777,523140784
385617000,105485759,523140772
385618000,105485756,523140764
385619000,105485813,523140756
385620000,105485828,523140733
385621000,105485861,523140753
385622000,105485866,523140769
385623000,105485869,523140798
385624000,105485945,523140790
385625000,105486015,523140773
385626000,105486079,523140740
385627000,105486127,523140706
385628000,105486115,523140692
385629000,105485935,523140645
385630000,105485931,523140593
385631000,105485927,523140568
385632000,105485922,523140538
385633000,105485894,523140539
385634000,105485876,523140553
385635000,105485833,523140578
385636000,105485917,523140588
385637000,105486036,523140617
385638000,105486127,523140626
385639000,105486189,523140637
385640000,105486214,523140634
385641000,105486248,523140646
385642000,105486227,523140644
385643000,105486209,523140627
385644000,105486210,523140620
385645000,105486208,523140621
385646000,105486224,523140657
385647000,105486287,523140627
385648000,105486306,523140611
385649000,105486339,523140570
385650000,105486354,523140537
385651000,105486429,523140516
385652000,105486501,523140512
385653000,105486520,523140508
385654000,105486520,523140508
385655000,105486517,523140513
385656000,105486484,523140539
385657000,105486480,523140578
385658000,105486425,523140637
38
